categoria,tamanio,tipo,precio,clasificacion,genero,v_android,calificacion
1,19.0,1,0.0,1,1,1,4.1
1,14.0,1,0.0,1,2,1,3.9
1,8.7,1,0.0,1,1,1,4.7
1,25.0,1,0.0,2,1,2,4.5
1,2.8,1,0.0,1,3,3,4.3
1,5.6,1,0.0,1,1,4,4.4
1,19.0,1,0.0,1,1,1,3.8
1,29.0,1,0.0,1,1,2,4.1
1,33.0,1,0.0,1,1,5,4.4
1,3.1,1,0.0,1,3,1,4.7
1,28.0,1,0.0,1,1,6,4.4
1,12.0,1,0.0,1,1,7,4.4
1,20.0,1,0.0,2,1,6,4.2
1,21.0,1,0.0,1,1,3,4.6
1,37.0,1,0.0,1,1,4,4.4
1,2.7,1,0.0,1,1,2,3.2
1,5.5,1,0.0,1,1,6,4.7
1,17.0,1,0.0,1,1,4,4.5
1,39.0,1,0.0,1,1,1,4.3
1,31.0,1,0.0,1,1,6,4.6
1,14.0,1,0.0,1,1,6,4.0
1,12.0,1,0.0,1,1,1,4.1
1,4.2,1,0.0,3,1,1,4.7
1,23.0,1,0.0,1,1,6,4.7
1,6.0,1,0.0,1,1,5,4.8
1,25.0,1,0.0,1,3,1,4.7
1,6.1,1,0.0,1,1,1,4.1
1,4.6,1,0.0,1,1,4,3.9
1,4.2,1,0.0,1,1,4,4.1
1,9.2,1,0.0,1,1,1,4.2
1,5.2,1,0.0,1,1,4,4.1
1,11.0,1,0.0,1,1,7,4.5
1,11.0,1,0.0,1,1,6,4.2
1,4.2,1,0.0,2,1,6,4.7
1,9.2,1,0.0,1,1,6,3.8
1,24.0,1,0.0,1,3,3,4.7
1,0.0,1,0.0,1,1,8,4.1
1,11.0,1,0.0,1,1,1,4.7
1,9.4,1,0.0,1,1,7,4.0
1,15.0,1,0.0,1,1,1,4.2
1,10.0,1,0.0,1,1,1,4.5
1,0.0,1,0.0,1,1,9,4.4
1,1.2,1,0.0,1,3,6,3.8
1,12.0,1,0.0,1,1,6,4.2
1,24.0,1,0.0,1,1,6,4.7
1,26.0,1,0.0,1,1,6,4.6
1,8.0,1,0.0,1,1,6,4.2
1,7.9,1,0.0,1,1,4,4.3
2,25.0,1,0.0,1,4,1,4.2
2,56.0,1,0.0,1,4,6,4.0
2,57.0,1,0.0,1,4,6,3.8
2,0.0,1,0.0,1,4,9,4.6
2,35.0,1,0.0,1,4,6,3.9
2,33.0,1,0.0,1,4,6,4.3
2,33.0,1,0.0,1,4,7,4.9
2,5.6,1,0.0,1,4,3,4.4
2,54.0,1,0.0,1,4,6,4.2
2,0.201,1,0.0,1,4,10,4.0
2,3.6,1,0.0,1,4,3,3.9
2,5.7,1,0.0,1,4,1,4.6
2,17.0,1,0.0,1,4,2,4.9
2,8.6,1,0.0,1,4,6,4.3
2,2.4,1,0.0,1,4,7,4.6
2,27.0,1,0.0,1,4,2,4.9
2,2.7,1,0.0,1,4,3,3.9
2,2.5,1,0.0,1,4,4,4.0
2,0.0,1,0.0,1,4,9,4.3
2,0.0,1,0.0,1,4,9,3.9
2,7.0,1,0.0,1,4,1,4.2
2,35.0,1,0.0,1,4,1,4.8
2,16.0,1,0.0,1,4,2,3.6
2,16.0,1,0.0,2,4,11,4.2
2,0.0,1,0.0,1,4,8,4.8
2,17.0,1,0.0,1,4,7,4.8
2,3.4,1,0.0,1,4,7,4.6
2,8.9,1,0.0,1,4,6,4.5
2,3.9,1,0.0,3,4,7,4.3
2,2.9,1,0.0,1,4,6,4.5
2,38.0,1,0.0,1,4,6,4.9
2,32.0,1,0.0,1,4,12,3.9
2,37.0,1,0.0,1,4,2,4.4
2,15.0,1,0.0,1,4,11,4.0
2,5.4,1,0.0,1,4,1,4.3
2,18.0,1,0.0,1,4,3,3.7
2,0.0,1,0.0,1,4,9,4.4
2,38.0,1,0.0,1,4,4,4.3
2,1.1,1,0.0,1,4,1,3.2
2,0.0,1,0.0,1,4,9,4.6
2,0.0,1,0.0,1,4,9,4.6
2,7.9,1,0.0,1,4,6,4.5
2,35.0,1,0.0,1,4,1,3.7
2,0.0,1,0.0,1,4,1,4.6
2,17.0,1,0.0,1,4,1,4.6
2,19.0,1,0.0,1,4,1,4.6
2,14.0,1,0.0,1,4,7,4.0
2,2.2,1,0.0,1,4,1,4.4
2,4.5,1,0.0,1,4,7,4.0
3,17.0,1,0.0,1,5,11,4.7
3,14.0,1,0.0,1,5,6,4.9
3,9.8,1,0.0,1,5,6,4.7
3,21.0,1,0.0,1,5,1,3.9
3,0.0,1,0.0,1,5,9,3.9
3,52.0,1,0.0,1,5,6,4.2
3,14.0,1,0.0,1,5,1,4.6
3,25.0,1,0.0,1,5,7,4.3
3,9.0,1,0.0,1,5,2,4.7
3,0.0,1,0.0,1,5,11,4.7
3,12.0,1,0.0,1,5,1,4.8
3,0.0,1,0.0,1,5,9,4.2
3,35.0,1,0.0,1,5,7,4.3
3,6.7,1,0.0,1,5,7,4.5
3,30.0,1,0.0,2,5,1,4.1
3,2.9,1,0.0,1,5,1,4.2
3,17.0,1,0.0,1,5,1,4.5
3,2.9,1,0.0,1,5,1,4.4
3,0.0,1,0.0,1,5,9,4.0
3,0.0,1,0.0,1,5,7,4.1
3,2.6,1,0.0,1,5,7,4.1
3,4.2,1,0.0,1,5,1,4.4
3,7.1,1,0.0,1,5,7,4.6
3,57.0,1,0.0,1,5,11,4.5
3,22.0,1,0.0,1,5,1,3.9
3,24.0,1,0.0,1,5,7,4.4
3,21.0,1,0.0,1,5,6,4.6
3,3.4,1,0.0,1,5,7,3.8
3,6.4,1,0.0,1,5,1,4.0
3,3.2,1,0.0,1,5,1,4.3
3,8.2,1,0.0,4,5,13,4.5
3,2.9,1,0.0,1,5,1,4.1
3,23.0,1,0.0,1,5,7,3.7
3,4.6,1,0.0,1,5,1,4.7
3,3.1,1,0.0,1,5,1,4.2
4,0.0,1,0.0,2,6,9,4.6
4,4.9,1,0.0,1,6,3,4.5
4,9.5,1,0.0,3,6,7,4.6
4,0.0,1,0.0,1,6,9,4.4
4,0.0,1,0.0,2,6,9,4.2
4,0.0,1,0.0,1,6,14,4.5
4,0.0,1,0.0,1,6,9,4.5
4,0.0,1,0.0,2,6,9,4.5
4,4.2,1,0.0,1,6,6,4.5
4,5.4,1,0.0,2,6,7,4.4
4,0.0,1,0.0,1,6,9,4.5
4,2.8,1,0.0,1,6,7,4.6
4,5.0,1,0.0,2,6,1,4.8
4,0.0,1,0.0,2,6,9,3.9
4,5.9,1,0.0,1,6,4,4.6
4,13.0,1,0.0,1,6,1,4.2
4,7.1,1,0.0,1,6,6,4.1
4,6.7,1,0.0,1,6,1,4.7
4,0.0,1,0.0,2,6,9,4.2
4,17.0,1,0.0,1,6,6,4.3
4,19.0,1,0.0,1,6,6,3.3
4,6.7,1,0.0,1,6,4,4.6
4,21.0,1,0.0,1,6,6,4.8
4,0.0,1,0.0,1,6,9,4.7
4,37.0,1,0.0,1,6,7,4.1
4,15.0,1,0.0,2,6,7,4.6
4,23.0,1,0.0,4,6,6,4.1
4,19.0,1,0.0,1,6,1,4.6
4,23.0,1,0.0,1,6,5,4.7
4,73.0,1,0.0,1,6,1,4.5
4,4.9,1,0.0,4,6,15,3.9
4,6.8,1,0.0,1,6,3,4.4
4,0.0,1,0.0,1,6,9,4.3
4,0.0,1,0.0,1,6,16,4.2
4,2.9,1,0.0,1,6,7,4.5
4,3.5,1,0.0,1,6,1,4.4
4,4.0,1,0.0,1,6,1,3.4
4,21.0,1,0.0,1,6,5,4.9
4,2.3,1,0.0,1,6,5,4.6
4,0.0,1,0.0,1,6,9,4.4
4,10.0,1,0.0,1,6,7,4.4
4,6.1,1,0.0,1,6,2,4.4
4,2.1,1,0.0,1,6,1,4.4
4,42.0,1,0.0,1,6,10,3.5
4,30.0,1,0.0,3,6,2,4.4
5,0.0,1,0.0,1,7,9,4.1
5,0.0,1,0.0,1,7,9,4.3
5,0.0,1,0.0,1,7,9,4.4
5,29.0,1,0.0,1,7,11,4.3
5,0.0,1,0.0,1,7,9,4.3
5,0.0,1,0.0,1,7,9,4.1
5,0.0,1,0.0,1,7,3,4.4
5,35.0,1,0.0,1,7,6,4.3
5,9.1,1,0.0,1,7,1,3.9
5,25.0,1,0.0,1,7,11,4.8
5,3.9,1,0.0,1,7,6,4.5
5,18.0,1,0.0,1,7,6,4.4
5,12.0,1,0.0,1,7,1,4.0
5,21.0,1,0.0,1,7,14,4.3
5,0.0,1,0.0,1,7,9,4.0
5,0.0,1,0.0,1,7,9,4.2
5,0.0,1,0.0,1,7,17,4.5
5,0.0,1,0.0,1,7,9,4.2
5,55.0,1,0.0,1,7,6,4.2
5,3.2,1,0.0,1,7,7,4.6
5,0.0,1,0.0,1,7,9,4.1
5,0.0,1,0.0,1,7,9,4.6
5,0.023,1,0.0,1,7,10,3.1
5,16.0,1,0.0,1,7,6,3.9
5,0.0,1,0.0,1,7,9,4.3
5,14.0,1,0.0,1,7,6,4.1
5,37.0,1,0.0,1,7,7,4.4
5,0.0,1,0.0,1,7,9,4.1
5,0.0,1,0.0,1,7,6,4.1
5,11.0,1,0.0,1,7,7,4.5
5,25.0,1,0.0,1,7,6,4.4
5,7.3,1,0.0,1,7,2,4.4
5,6.5,1,0.0,1,7,7,4.3
5,25.0,1,0.0,1,7,7,4.4
5,3.1,1,0.0,1,7,1,4.6
5,0.0,1,0.0,1,7,1,4.2
5,1.5,1,0.0,1,7,10,4.4
5,7.5,1,0.0,1,7,1,4.7
5,8.6,1,0.0,1,7,16,3.8
5,0.0,1,0.0,1,7,9,3.9
5,0.0,1,0.0,1,7,9,4.3
5,0.0,1,0.0,1,7,1,4.2
5,0.0,1,0.0,1,7,9,4.4
5,39.0,1,0.0,1,7,5,4.7
5,14.0,1,0.0,1,7,6,4.5
5,19.0,1,0.0,1,7,6,4.2
5,6.8,2,4.99,1,7,7,4.7
5,39.0,2,4.99,1,7,5,4.8
5,0.0,1,0.0,1,7,9,4.2
5,14.0,1,0.0,1,7,6,4.2
5,20.0,1,0.0,1,7,1,4.3
5,0.0,1,0.0,1,7,3,4.4
5,0.0,1,0.0,1,7,9,4.4
5,26.0,1,0.0,1,7,2,4.1
5,51.0,1,0.0,1,7,11,3.8
5,41.0,1,0.0,1,7,6,4.3
5,20.0,1,0.0,1,7,6,3.8
5,0.0,1,0.0,1,7,9,3.5
5,12.0,1,0.0,1,7,11,4.1
5,48.0,1,0.0,1,7,1,4.6
5,10.0,1,0.0,1,7,11,4.3
5,22.0,1,0.0,1,7,3,4.5
5,11.0,1,0.0,1,7,7,4.1
5,8.5,1,0.0,1,7,6,4.5
5,8.6,1,0.0,1,7,6,4.6
5,0.0,1,0.0,1,7,3,4.0
5,28.0,1,0.0,1,7,6,4.2
5,28.0,1,0.0,1,7,17,4.4
5,37.0,1,0.0,1,7,7,4.4
5,9.0,1,0.0,1,7,11,4.0
5,46.0,1,0.0,1,7,3,4.2
5,0.0,1,0.0,1,7,9,4.2
5,14.0,1,0.0,1,7,1,4.1
5,0.0,1,0.0,1,7,3,4.0
5,26.0,1,0.0,1,7,7,3.8
5,23.0,1,0.0,1,7,11,3.9
5,0.0,1,0.0,1,7,9,3.9
5,0.0,1,0.0,1,7,9,4.2
5,14.0,1,0.0,1,7,6,4.2
5,20.0,1,0.0,1,7,1,4.3
5,0.0,1,0.0,1,7,3,4.4
5,0.0,1,0.0,1,7,9,4.4
5,26.0,1,0.0,1,7,2,4.1
5,51.0,1,0.0,1,7,11,3.8
5,41.0,1,0.0,1,7,6,4.3
5,20.0,1,0.0,1,7,6,3.8
5,0.0,1,0.0,1,7,9,3.5
5,12.0,1,0.0,1,7,11,4.1
5,48.0,1,0.0,1,7,1,4.6
5,10.0,1,0.0,1,7,11,4.3
5,22.0,1,0.0,1,7,3,4.5
5,11.0,1,0.0,1,7,7,4.1
5,8.5,1,0.0,1,7,6,4.5
5,8.6,1,0.0,1,7,6,4.6
5,0.0,1,0.0,1,7,3,4.0
5,28.0,1,0.0,1,7,6,4.2
5,0.0,1,0.0,1,7,9,4.3
5,0.0,1,0.0,1,7,1,4.2
5,0.0,1,0.0,1,7,9,4.4
5,39.0,1,0.0,1,7,5,4.7
5,14.0,1,0.0,1,7,6,4.5
5,19.0,1,0.0,1,7,6,4.2
5,6.8,2,4.99,1,7,7,4.7
5,39.0,2,4.99,1,7,5,4.8
5,0.0,1,0.0,1,7,9,4.1
5,35.0,1,0.0,1,7,6,4.3
5,0.0,1,0.0,1,7,9,4.4
5,29.0,1,0.0,1,7,11,4.5
5,41.0,1,0.0,1,7,6,4.3
6,0.0,1,0.0,2,8,9,4.5
6,4.9,1,0.0,5,8,6,4.6
6,27.0,1,0.0,2,8,6,4.7
6,32.0,1,0.0,1,8,1,4.7
6,12.0,1,0.0,1,9,3,4.8
6,15.0,1,0.0,4,8,6,3.9
6,11.0,1,0.0,4,8,6,4.1
6,28.0,1,0.0,2,8,11,4.4
6,2.2,1,0.0,2,8,7,4.6
6,3.4,1,0.0,1,8,4,4.5
6,8.3,1,0.0,1,8,1,4.7
6,4.3,1,0.0,3,8,2,4.4
6,4.7,1,0.0,1,8,1,4.5
6,10.0,1,0.0,2,8,1,3.9
6,15.0,1,0.0,2,8,1,3.2
6,7.1,1,0.0,4,8,1,3.2
6,21.0,1,0.0,4,8,1,4.1
6,6.1,1,0.0,1,8,6,4.5
6,0.0,1,0.0,2,8,9,4.2
6,15.0,1,0.0,2,8,2,4.2
6,11.0,1,0.0,2,8,3,3.7
6,29.0,1,0.0,2,8,3,4.5
6,3.3,1,0.0,1,8,7,4.6
6,0.0,1,0.0,1,8,9,4.5
6,40.0,1,0.0,1,8,6,4.7
6,10.0,1,0.0,2,8,6,4.4
6,9.1,1,0.0,4,8,11,3.5
6,4.7,1,0.0,2,8,1,3.3
6,38.0,1,0.0,3,8,6,4.5
6,0.0,1,0.0,4,8,9,4.4
6,6.7,1,0.0,1,8,7,4.2
6,37.0,1,0.0,1,8,1,5.0
6,0.0,1,0.0,1,8,4,4.4
6,7.8,1,0.0,2,8,1,4.7
6,19.0,1,0.0,1,8,1,4.4
6,5.7,1,0.0,1,8,7,4.4
6,35.0,1,0.0,1,8,3,4.6
7,0.0,1,0.0,1,10,9,4.0
7,0.0,1,0.0,1,10,9,4.4
7,17.0,1,0.0,2,10,6,4.3
7,0.0,1,0.0,1,10,9,4.3
7,0.0,1,0.0,1,10,4,4.4
7,0.0,1,0.0,1,10,9,4.3
7,0.0,1,0.0,1,10,9,4.0
7,0.0,1,0.0,1,10,9,4.3
7,8.8,1,0.0,1,10,3,4.3
7,0.0,1,0.0,1,10,9,4.4
7,16.0,1,0.0,1,10,3,4.3
7,11.0,1,0.0,1,10,7,4.3
7,11.0,1,0.0,1,10,7,4.3
7,0.0,1,0.0,1,10,11,4.3
7,15.0,1,0.0,1,10,6,4.3
7,6.6,1,0.0,1,10,18,4.0
7,0.0,1,0.0,1,10,9,4.5
7,6.6,1,0.0,1,10,18,4.3
7,0.0,1,0.0,1,10,9,3.7
7,0.0,1,0.0,1,10,9,4.5
7,5.1,1,0.0,1,10,6,3.9
7,0.0,1,0.0,1,10,9,4.4
7,18.0,1,0.0,1,10,6,3.6
7,4.0,1,0.0,1,10,11,4.4
7,0.0,1,0.0,1,10,9,4.2
7,0.0,1,0.0,1,10,9,4.4
7,0.0,1,0.0,1,10,9,4.1
7,37.0,1,0.0,4,10,1,4.4
7,0.0,1,0.0,2,10,9,4.3
7,22.0,1,0.0,1,10,1,4.2
7,0.0,1,0.0,1,10,9,4.2
7,3.3,1,0.0,2,10,7,4.4
7,32.0,1,0.0,1,10,1,4.4
